,rua,metro_quadrado,quartos,garagens,banheiros,preco,id,scrapy_datetime,lat,lon
0,"            Avenida Nápoles, Fragoso",        38 - 43 ,2,1,1,150490,2481142874,2022-05-08 20:08:48,-7.9669816,-34.8549883
1,"            Rua da Aurora, Tabajara",        48 ,2,1,1,180000,2561186218,2022-05-08 20:08:48,-8.056671,-34.8782136
2,"            Avenida Antônio Cabral de Souza, Maranguape I",        40 ,2,1,1,161690,2469984286,2022-05-08 20:08:48,-7.9442661,-34.8678434
3,"            Rua Otaviano Pessoa Monteiro, Casa Caiada",        260 ,5,2,5,740000,2490994842,2022-05-08 20:08:48,-7.9892805,-34.8399215
4,"            Rua Manuel dos Santos Moreira, Casa Caiada",        118 ,3,1,3,370000,2560615833,2022-05-08 20:08:48,-7.9890199,-34.8419815
5,"            Rua Cardeal, Ouro Preto",        200 ,5,1,4,400000,2552509365,2022-05-08 20:08:48,-7.9942007,-34.8647955
6,"            Avenida Brasil, Rio Doce",        200 ,3,3,3,290000,2561891963,2022-05-08 20:08:48,-7.95946,-34.8465666
7,"            Rua Onze, Rio Doce",        100 ,3,3,2,230000,2561052858,2022-05-08 20:08:48,-7.9634049,-34.8459685
8,"            Avenida Jules Rimet, Rio Doce",        80 ,3,2,2,220000,2561384100,2022-05-08 20:08:48,-7.9626439,-34.8396462
9,"            Avenida Governador Carlos de Lima Cavalcante, Casa Caiada",        100 ,3,2,1,590000,2561585059,2022-05-08 20:08:48,-7.9824958,-34.8375212
10,"            Avenida Doutor José Augusto Moreira, Casa Caiada",        67 ,1,1,1,420000,2561573956,2022-05-08 20:08:48,-7.9848483,-34.8380293
11,"            Jardim Brasil, Olinda",        95 ,3,1,2,170000,2561201071,2022-05-08 20:08:48,-8.0039768,-34.8709438
12,"            Rua Hélio Rodrigues Cardoso, Bultrins",        112 ,3,1,2,350000,2561641237,2022-05-08 20:08:48,-7.9975759,-34.84776
13,"            Rio Doce, Olinda",        78 ,2,1,2,250000,2554421126,2022-05-08 20:08:48,-7.9661053,-34.8322058
14,"            Rua Pereira Simões, Bairro Novo",        118 ,5,2,4,800000,2561592110,2022-05-08 20:08:48,-8.0005265,-34.8434549
15,"            Rua Coronel João Ribeiro, Bairro Novo",        106 ,3,2,2,300000,2560946759,2022-05-08 20:08:48,-8.0007627,-34.8421559
16,"            Avenida Ministro Marcos Freire, Casa Caiada",        133 ,4,2,4,940000,2561789786,2022-05-08 20:08:48,-7.9811394,-34.8352712
17,"            Rua Beliro Dourado, Jardim Atlântico",        60 ,2,1,1,154990,2553565221,2022-05-08 20:08:48,-7.9751353,-34.8491577
18,"            Rua José Soriano, Bairro Novo",        154 ,6,3,,550000,2558132054,2022-05-08 20:08:48,,
19,"            Rua Caruaru, Jardim Brasil",        100 ,3,2,2,180000,2561689179,2022-05-08 20:08:48,-8.0024298,-34.8725029
20,"            Rua Doutor Manoel de Barros Lima, Bairro Novo",        63 ,2,1,2,175000,2561531506,2022-05-08 20:08:48,-7.9960147,-34.8429804
21,"            Rua Maria da Conceição Viana, Rio Doce",        41 ,2,1,2,239900,2561723059,2022-05-08 20:08:48,-7.9689891,-34.8354512
22,"            Avenida Pau-brasil, Rio Doce",        60 ,2,1,1,85000,2549297101,2022-05-08 20:08:48,-7.9683225,-34.8497034
23,"            Rua Coronel José Cipriano da Silva, Rio Doce",        55 ,2,2,2,235000,2427447485,2022-05-08 20:08:48,-7.9649507,-34.8313592
24,"            Rua Gonçalves Dias, Campo Grande",        46 ,2,        1 - 2 ,2,285000,2474977973,2022-05-08 20:08:48,-8.035153,-34.8772041
25,"            Rua Marechal Deodoro, Encruzilhada",        27 - 29 ,1,,,199000,2513548941,2022-05-08 20:08:48,-8.037319,-34.8848487
26,"            Rua Othon Paraíso, Torreão",        44 - 75 ,        2 - 3 ,1,1,287000,2561183889,2022-05-08 20:08:48,-8.0390041,-34.8835829
27,"            Avenida Ministro Marcos Freire, Casa Caiada",        100 ,3,2,2,941000,2560944108,2022-05-08 20:08:48,-7.9811394,-34.8352712
28,"            Rua da Comunicação, Passarinho",        200 ,,,,105000,2559341188,2022-05-08 20:08:48,-7.9845668,-34.9145405
29,"            Rua Cardeal, Ouro Preto",        200 ,5,1,4,400000,2552509365,2022-05-08 20:08:48,-7.9942007,-34.8647955
30,"            Avenida Ministro Marcos Freire, Casa Caiada",        76 ,3,1,3,600000,2561499935,2022-05-08 20:08:48,-7.9811394,-34.8352712
31,"            Rua José Alexandre de Carvalho, Fragoso",        60 ,2,1,1,150000,2561015280,2022-05-08 20:08:48,-7.984358,-34.8526856
32,"            Rua José Maurício Viana, Jardim Atlântico",        150 ,3,1,3,260000,2042625475,2022-05-08 20:08:48,-7.9744465,-34.8389467
33,"            Rua do Sol, Carmo",        180 ,3,3,3,550000,2561702257,2022-05-08 20:08:48,-21.9314728,-42.6076037
34,"            Fragoso, Olinda",        57 ,2,1,1,180000,2543095343,2022-05-08 20:08:48,-7.9842603,-34.8520068
35,"            Rua Antônio Martiniano de Barros, Fragoso",        54 ,2,1,2,184999,2542986830,2022-05-08 20:08:48,-7.9916737,-34.8459024
36,"            Rua Djalma Dutra, Salgadinho",        150 ,3,2,3,400000,2538363498,2022-05-08 20:08:48,-8.0260799,-34.8695389
37,"            Rua Ulisses Tenório de Albuquerque, Casa Caiada",        62 ,3,1,2,365904,2458284381,2022-05-08 20:08:48,-7.9827993,-34.8384556
38,"            Avenida da Asa Branca, Rio Doce",        50 ,2,1,1,175000,2561777992,2022-05-08 20:08:48,-7.9571815,-34.8454746
39,"            Rua Professor Marculino Botelho, Bairro Novo",        102 ,3,2,2,410000,2561505651,2022-05-08 20:08:48,-7.9931262,-34.8394801
40,"            Rua Açucena, Fragoso",        50 ,2,1,1,170000,2553224816,2022-05-08 20:08:48,,
41,"            Avenida Doutor Joaquim Nabuco, Bultrins",        66 ,3,1,1,215000,2561549694,2022-05-08 20:08:48,-7.9964343,-34.8551863
42,"            Avenida Ministro Marcos Freire, Casa Caiada",        77 ,3,2,3,380000,2560615038,2022-05-08 20:08:48,-7.9811394,-34.8352712
43,"            Avenida Governador Carlos de Lima Cavalcante, Casa Caiada",        68 ,2,1,2,299000,2560358945,2022-05-08 20:08:48,-7.9824958,-34.8375212
44,"            Jardim Atlântico, Olinda",        80 ,2,2,1,270000,2542011575,2022-05-08 20:08:48,-7.9753891,-34.8459936
45,"            Avenida Governador Carlos de Lima Cavalcante, Rio Doce",        55 ,2,1,1,186360,2557084814,2022-05-08 20:08:48,-7.9643799,-34.8318207
46,"            Casa Caiada, Olinda",        67 ,2,1,2,310000,2560220725,2022-05-08 20:08:48,-7.9835463,-34.8389609
47,"            Rua Delmiro Monteiro da Purificação, Jardim Atlântico",        112 ,3,2,3,365000,2560338356,2022-05-08 20:08:48,-7.9711973,-34.8378979
48,"            Rua Othon Paraíso, Torreão",        44 - 75 ,        2 - 3 ,1,1,287000,2561183889,2022-05-08 20:08:48,-8.0390041,-34.8835829
49,"            Rua André Gide, Encruzilhada",        60 ,2,1,2,330041,2442779379,2022-05-08 20:08:48,-8.0314408,-34.8907565
50,"            Rua Hipólito Braga, Rosarinho",        89 ,3,1,,735600,2550040954,2022-05-08 20:08:48,-8.0320075,-34.8955233
51,"            Avenida Governador Carlos de Lima Cavalcante, Casa Caiada",        104 ,3,2,2,499900,2540735612,2022-05-08 20:08:48,-7.9824958,-34.8375212
52,"            Rua Otaviano Pessoa Monteiro, Casa Caiada",        126 ,3,1,3,330000,2427443933,2022-05-08 20:08:48,-7.9892805,-34.8399215
53,"            Rua Edmar Moury Fernandes, Casa Caiada",        95 ,3,2,1,390000,2541326558,2022-05-08 20:08:48,-7.9866574,-34.8432774
54,"            Avenida Governador Carlos de Lima Cavalcante, Casa Caiada",        55 ,2,1,1,371250,2551140536,2022-05-08 20:08:48,-7.9824958,-34.8375212
55,"            Avenida Doutor José Augusto Moreira, Casa Caiada",        51 ,2,1,2,342000,2551586256,2022-05-08 20:08:48,-7.9848483,-34.8380293
56,"            Rua Braz Miranda de Freitas, Casa Caiada",        80 ,2,1,1,195000,2561395672,2022-05-08 20:08:48,-7.9835463,-34.8389609
57,"            Rua Maria Ramos, Bairro Novo",        76 ,3,1,1,380000,2549857697,2022-05-08 20:08:48,-8.0003012,-34.8427491
58,"            Avenida Governador Carlos de Lima Cavalcante, Casa Caiada",        62 ,2,1,2,380000,2513149977,2022-05-08 20:08:48,-7.9824958,-34.8375212
59,"            Rua do Xexéu, Rio Doce",        50 ,2,1,2,174200,2557297367,2022-05-08 20:08:48,-7.957805,-34.8452617
60,"            Rua Otaviano Pessoa Monteiro, Casa Caiada",        70 ,3,1,2,360000,2500276209,2022-05-08 20:08:48,-7.9892805,-34.8399215
61,"            Rua Antônio Martiniano de Barros, Fragoso",        54 ,2,1,1,190000,2530769891,2022-05-08 20:08:48,-7.9916737,-34.8459024
62,"            Rua Catulo da Paixão Cearense, Jardim Atlântico",        99 ,3,1,1,230000,2560616126,2022-05-08 20:08:48,-7.9753849,-34.8367645
63,"            Travessa das Acacias, Rio Doce",        65 ,3,2,2,150000,2555039759,2022-05-08 20:08:48,,
64,"            Rua Doutor Manoel de Almeida Belo, Bairro Novo",        120 ,3,1,1,220000,2560643785,2022-05-08 20:08:48,-8.0013614,-34.841539
65,"            Rua Maria Ramos, Bairro Novo",        60 ,2,1,2,450000,2561672565,2022-05-08 20:08:48,-8.0003012,-34.8427491
66,"            Rua Coronel Clementino de Carvalho Mendes, Fragoso",        60 ,2,1,1,175000,2560668064,2022-05-08 20:08:48,-7.9935142,-34.8507575
67,"            Rua Pereira Simões, Bairro Novo",        61 ,2,1,2,421000,2561172363,2022-05-08 20:08:48,-8.0005265,-34.8434549
68,"            Rua Álvaro da Boa Vista Maia, Jardim Atlântico",        96 ,3,1,2,170000,2552562403,2022-05-08 20:08:48,-7.9712137,-34.8395651
69,"            Jardim Atlântico, Olinda",        200 ,3,2,2,300000,2553668779,2022-05-08 20:08:48,-7.9753891,-34.8459936
70,"            Avenida Pau-brasil, Fragoso",        46 ,2,1,1,115000,2553577704,2022-05-08 20:08:48,-22.5889616,-43.1989273
71,"            Avenida Doutor José Augusto Moreira, Casa Caiada",        95 ,3,2,4,750000,2442420149,2022-05-08 20:08:48,-7.9848483,-34.8380293
72,"            Rua Marquês do Paraná, Espinheiro",        54 - 66 ,        2 - 3 ,1,        2 - 3 ,414126,2536556301,2022-05-08 20:08:48,-8.0416488,-34.8889018
73,"            Rua Quarenta e Oito, Espinheiro",        35 ,1,1,,327000,2550040644,2022-05-08 20:08:48,-8.042317,-34.89255
74,"            Rua Quarenta e Oito, Espinheiro",        56 - 58 ,2,1,,472000,2554809419,2022-05-08 20:08:48,-8.042317,-34.89255
75,"            Avenida Doutor José Augusto Moreira, Casa Caiada",        78 ,3,1,2,260000,2555683932,2022-05-08 20:08:48,-7.9848483,-34.8380293
76,"            Rua Otaviano Pessoa Monteiro, Casa Caiada",        260 ,5,2,5,740000,2490994842,2022-05-08 20:08:48,-7.9892805,-34.8399215
77,"            Bairro Novo, Olinda",        130 ,5,2,4,780000,2560592411,2022-05-08 20:08:48,-8.0027701,-34.8431006
78,"            Bultrins, Olinda",        60 ,2,1,2,239000,2560901767,2022-05-08 20:08:48,-7.9976816,-34.852405
79,"            Avenida Governador Carlos de Lima Cavalcante, Casa Caiada",        87 ,3,1,2,390000,2542021880,2022-05-08 20:08:48,-7.9824958,-34.8375212
80,"            Rua Um, Rio Doce",        48 ,2,1,1,185000,2556417422,2022-05-08 20:08:48,-7.9577916,-34.8509717
81,"            Rua Um, Rio Doce",        50 ,2,1,1,186000,2561313421,2022-05-08 20:08:48,-7.9577916,-34.8509717
82,"            Rua Barão de São Borja, Bairro Novo",        79 ,3,1,2,190000,2561306851,2022-05-08 20:08:48,-7.9949765,-34.8474288
83,"            Casa Caiada, Olinda",        85 ,3,2,1,359000,2559053355,2022-05-08 20:08:48,-7.9835463,-34.8389609
84,"            Rua Humberto de Lima Mendes, Bairro Novo",        60 ,3,2,,190000,2554151933,2022-05-08 20:08:48,-7.9879252,-34.8472616
85,"            Casa Caiada, Olinda",        140 ,3,2,1,455000,2559053356,2022-05-08 20:08:48,-7.9835463,-34.8389609
86,"            Rua Humberto de Lima Mendes, Bairro Novo",        60 ,2,6,1,195000,2560679565,2022-05-08 20:08:48,-7.9879252,-34.8472616
87,"            Rua Manuel dos Santos Moreira, Casa Caiada",        54 ,2,1,1,185000,2555960776,2022-05-08 20:08:48,-7.9890199,-34.8419815
88,"            Bairro Novo, Olinda",        55 ,2,1,2,350000,2550046074,2022-05-08 20:08:48,-8.0027701,-34.8431006
89,"            Rua Pereira Simões, Bairro Novo",        61 ,2,1,2,397000,2549073862,2022-05-08 20:08:48,-8.0005265,-34.8434549
90,"            Rua José Maurício Viana, Jardim Atlântico",        100 ,2,2,1,199000,2558557600,2022-05-08 20:08:48,-7.9744465,-34.8389467
91,"            Avenida Pedro Álvares Cabral, Jardim Atlântico",        68 ,2,1,2,185000,2559466944,2022-05-08 20:08:48,-7.978459,-34.8475865
92,"            Avenida Coronel João Melo Moraes, Jardim Fragoso",        60 ,3,1,1,200000,2556703926,2022-05-08 20:08:48,-7.9718417,-34.8584392
93,"            Rua Ayrton Senna, Rio Doce",        46 ,2,1,1,184000,2553557406,2022-05-08 20:08:48,-7.9673038,-34.8347981
94,"            Rua José Alexandre de Carvalho, Fragoso",        53 ,2,1,2,165000,2545086839,2022-05-08 20:08:48,-7.984358,-34.8526856
95,"            Rua Coronel João Ribeiro, Bairro Novo",        110 ,3,1,3,380000,2561134553,2022-05-08 20:08:48,-8.0007627,-34.8421559
96,"            Rua Desembargador Martins Pereira, Rosarinho",        84 ,3,2,3,842628,2513139090,2022-05-08 20:08:48,-8.0365544,-34.8988679
97,"            Rua Alfredo Osório, Tamarineira",        63 ,3,1,3,400000,2517704805,2022-05-08 20:08:48,-8.0283181,-34.9064376
98,"            Avenida Professor José dos Anjos, Casa Amarela",        74 ,3,1,2,353893,2492398549,2022-05-08 20:08:48,-8.0271785,-34.9095848
99,"            Rua Álvaro da Boa Vista Maia, Jardim Atlântico",        105 ,4,1,2,160000,2551213771,2022-05-08 20:08:48,-7.9712137,-34.8395651
100,"            Avenida Doutor José Augusto Moreira, Casa Caiada",        160 ,4,4,5,1260000,2458994401,2022-05-08 20:08:48,-7.9848483,-34.8380293
101,"            Avenida Jules Rimet, Rio Doce",        84 ,3,1,2,160000,2553860906,2022-05-08 20:08:48,-7.9626439,-34.8396462
102,"            Avenida Fagundes Varela, Jardim Atlântico",        170 ,3,3,3,450000,2556117747,2022-05-08 20:08:48,-7.9770194,-34.8424944
103,"            Avenida Ministro Marcos Freire, Casa Caiada",        70 ,3,1,2,330000,2561403379,2022-05-08 20:08:48,-7.9811394,-34.8352712
104,"            Avenida Doutor José Augusto Moreira, Casa Caiada",        40 ,1,1,1,130000,2433256017,2022-05-08 20:08:48,-7.9848483,-34.8380293
105,"            Rua Hélio Rodrigues Cardoso, Casa Caiada",        75 ,3,1,2,370000,2561562966,2022-05-08 20:08:48,-7.9970371,-34.8477665
106,"            Rua Guaraná, Ouro Preto",        154 ,5,2,5,330000,2560338258,2022-05-08 20:08:48,-7.9963033,-34.8600522
107,"            Avenida Ministro Marcos Freire, Bairro Novo",        20 ,1,1,,70000,2558382170,2022-05-08 20:08:48,-8.0023988,-34.8395821
108,"            Estrada de Aguazinha, Aguazinha",        50 ,2,1,1,165000,2553564407,2022-05-08 20:08:48,-8.0018303,-34.8857777
109,"            Rua Professor Francisco Xavier Paes Barreto, Casa Caiada",        57 ,3,1,1,310000,2560914981,2022-05-08 20:08:48,-7.9903257,-34.8422608
110,"            Rua Luíz Miranda de Magalhães, Rio Doce",        68 ,2,1,1,160000,2558522716,2022-05-08 20:08:48,-7.9597113,-34.8506582
111,"            Rua Santa Terezinha, Jardim Atlântico",        50 ,2,1,1,229000,2554717590,2022-05-08 20:08:48,-7.9777366,-34.8417893
112,"            Peixinhos, Olinda",        250 ,3,3,3,250000,2552542507,2022-05-08 20:08:48,-8.013118799999999,-34.8723992
113,"            Rua Nova Luzitânia, Salgadinho",        210 ,5,4,2,300000,2434762996,2022-05-08 20:08:48,-8.0242864,-34.8690353
114,"            Casa Caiada, Olinda",        185 ,3,2,2,315000,2560238604,2022-05-08 20:08:48,-7.9835463,-34.8389609
115,"            Avenida Governador Carlos de Lima Cavalcante, Rio Doce",        134 ,3,2,2,330000,2560616124,2022-05-08 20:08:48,-7.9643799,-34.8318207
116,"            Bairro Novo, Olinda",        116 ,5,2,4,800000,2560250473,2022-05-08 20:08:48,-8.0027701,-34.8431006
117,"            Casa Caiada, Olinda",        89 ,3,2,3,630000,2561179488,2022-05-08 20:08:48,-7.9835463,-34.8389609
118,"            Rua Álvaro da Boa Vista Maia, Jardim Atlântico",        93 ,3,2,2,326000,2534979191,2022-05-08 20:08:48,-7.9712137,-34.8395651
119,"            Rua Ave Lira, Jardim Atlântico",        700 ,10,1,,400000,2477807612,2022-05-08 20:08:48,-7.9807426,-34.8498721
120,"            Rua Rodrigues Sete, Casa Amarela",        93 ,3,2,3,650000,2523640455,2022-05-08 20:08:48,-8.0275317,-34.9079491
121,"            Rua Doutor Leopoldo Lins, Boa Vista",        60 ,3,2,2,395412,2545389074,2022-05-08 20:08:48,-8.0492312,-34.8917593
122,"            Rua Monte Castelo, Boa Vista",        36 ,1,1,1,301000,2559531376,2022-05-08 20:08:48,-8.0500149,-34.891693
123,"            Avenida Governador Carlos de Lima Cavalcante, Casa Caiada",        104 ,3,2,2,499900,2540735612,2022-05-08 20:08:48,-7.9824958,-34.8375212
124,"            Rua Siqueira Campos, Varadouro",        180 ,4,1,1,250000,2561842701,2022-05-08 20:08:48,-8.0212631,-34.8524689
125,"            Rua Riviera, Jardim Atlântico",        180 ,4,4,3,430000,2558572991,2022-05-08 20:08:48,-7.9802741,-34.8452962
126,"            Avenida Doutor José Augusto Moreira, Casa Caiada",        59 ,2,2,2,355000,2557862452,2022-05-08 20:08:48,-7.9848483,-34.8380293
127,"            Rua João da Costa Lima, Rio Doce",        56 ,2,2,2,347600,2534156778,2022-05-08 20:08:48,-7.9877679,-34.8420628
128,"            Avenida Nápoles, Rio Doce",        45 ,2,1,1,100000,2532287390,2022-05-08 20:08:48,-7.9675749,-34.8512369
129,"            Rua Sérgio Godoy de Vasconcelos, Jardim Atlântico",        60 ,2,1,2,160000,2557159135,2022-05-08 20:08:48,-7.9733769,-34.8428475
130,"            Rua Doutor Milton Pina, Bultrins",        77 ,2,1,2,160000,2558198312,2022-05-08 20:08:48,-7.9984852,-34.84813
131,"            Rua C, Sapucaia",        156 ,4,3,3,270000,2548534014,2022-05-08 20:08:48,-23.2765696,-55.5302717
132,"            Rua da Patativa, Rio Doce",        120 ,3,3,1,190000,2550356111,2022-05-08 20:08:48,-7.9562737,-34.8500373
133,"            Rua Antônio Martiniano de Barros, Jardim Fragoso",        50 ,2,1,1,190000,2543095742,2022-05-08 20:08:48,-7.9916737,-34.8459024
134,"            Rua Carlos Pessoa Monteiro, Casa Caiada",        77 ,3,2,3,565000,2515413384,2022-05-08 20:08:48,-7.9908448,-34.8408931
135,"            Rua Pereira Simões, Bairro Novo",        85 ,3,1,2,460000,2554120134,2022-05-08 20:08:48,-8.0005265,-34.8434549
136,"            Jardim Atlântico, Olinda",        74 ,3,1,2,360000,2539510192,2022-05-08 20:08:48,-7.9753891,-34.8459936
137,"            Bairro Novo, Olinda",        73 ,3,1,1,365000,2559724857,2022-05-08 20:08:48,-8.0027701,-34.8431006
138,"            Avenida Ministro Marcos Freire, Casa Caiada",        96 ,3,2,1,750000,2492952374,2022-05-08 20:08:48,-7.9811394,-34.8352712
139,"            Rua do Xexéu, Rio Doce",        45 ,2,1,,159000,2561558002,2022-05-08 20:08:48,-7.957805,-34.8452617
140,"            Avenida da Asa Branca, Rio Doce",        46 ,2,1,1,179000,2558613948,2022-05-08 20:08:48,-7.9571815,-34.8454746
141,"            Bairro Novo, Olinda",        120 ,3,2,3,220000,2551683595,2022-05-08 20:08:48,-8.0027701,-34.8431006
142,"            Rua Artur Serpa, Fragoso",        102 ,3,4,4,410000,2557181756,2022-05-08 20:08:48,-7.9912927,-34.8452266
143,"            Jardim Atlântico, Olinda",        65 ,2,1,1,275000,2559724956,2022-05-08 20:08:48,-7.9753891,-34.8459936
144,"            Rua Monte Castelo, Boa Vista",        33 ,1,1,1,Sob consulta,2560480910,2022-05-08 20:08:48,-8.0500149,-34.891693
145,"            Rua Monte Castelo, Boa Vista",        33 ,1,1,1,Sob consulta,2560467493,2022-05-08 20:08:48,-8.0500149,-34.891693
146,"            Rua Monte Castelo, Boa Vista",        33 ,1,1,1,Sob consulta,2560481061,2022-05-08 20:08:48,-8.0500149,-34.891693
147,"            Carmo, Olinda",        288 ,5,6,3,850000,2208205492,2022-05-08 20:08:48,-8.0171147,-34.84999970000001
148,"            Rua Tertuliano Francisco Feitosa, Casa Caiada",        331 ,4,4,4,1650000,2560615885,2022-05-08 20:08:48,-7.9919121,-34.8403828
149,"            Avenida Ministro Marcos Freire, Casa Caiada",        100 ,3,2,2,941000,2560944108,2022-05-08 20:08:48,-7.9811394,-34.8352712
150,"            Bairro Novo, Olinda",        120 ,3,2,2,220000,2548185050,2022-05-08 20:08:48,-8.0027701,-34.8431006
151,"            Rua Maria da Conceição Viana, Jardim Atlântico",        52 ,3,1,1,232900,2551958957,2022-05-08 20:08:48,-7.9723606,-34.8369187
152,"            Avenida Ministro Marcos Freire, Bairro Novo",        64 ,2,1,1,330000,2560292910,2022-05-08 20:08:48,-8.0023988,-34.8395821
153,"            Rua do Guadalupe, Guadalupe",        100 ,3,1,3,210000,2560641220,2022-05-08 20:08:48,-8.010065,-34.8558844
154,"            Rua Jornalista Luís de Andrade, Casa Caiada",        96 ,3,2,3,770000,2544650547,2022-05-08 20:08:48,-7.9866315,-34.8418334
155,"            Rua Prefeito Manuel Regueira, Bultrins",        70 ,2,1,1,160000,2513657890,2022-05-08 20:08:48,-7.9969072,-34.854368
156,"            Rua Coroatá, Casa Caiada",        60 ,2,1,2,175000,2560661958,2022-05-08 20:08:48,,
157,"            Rua Otaviano Pessoa Monteiro, Casa Caiada",        63 ,2,1,1,435000,2559466899,2022-05-08 20:08:48,-7.9892805,-34.8399215
158,"            Jardim Atlântico, Olinda",        67 ,3,1,1,330000,2560289491,2022-05-08 20:08:48,-7.9753891,-34.8459936
159,"            Fragoso, Olinda",        55 ,2,1,2,180000,2551318271,2022-05-08 20:08:48,-7.9842603,-34.8520068
160,"            Rua Coronel João Ribeiro, Bairro Novo",        58 ,2,1,2,280000,2561134556,2022-05-08 20:08:48,-8.0007627,-34.8421559
161,"            Rua Carmem Lopes da Veiga Araújo, Fragoso",        60 ,2,1,1,75000,2558422070,2022-05-08 20:08:48,-7.9750306,-34.8539605
162,"            Rua Edimburgo, Passarinho",        200 ,2,2,1,175000,2556024631,2022-05-08 20:08:48,-7.986005,-34.9152943
163,"            Rua Victor José Fernandes, Bairro Novo",        50 ,2,1,2,240000,2560550273,2022-05-08 20:08:48,-8.0014992,-34.8457288
164,"            Rua José Mariano, Jardim Atlântico",        75 ,3,1,2,320000,2559835494,2022-05-08 20:08:48,-7.9759257,-34.8431952
165,"            Rua Ayrton Senna, Rio Doce",        46 ,2,1,1,186003,2561699568,2022-05-08 20:08:48,-7.9673038,-34.8347981
166,"            Avenida Coronel Frederico Lundgren, Rio Doce",        59 ,2,1,2,235000,2561531620,2022-05-08 20:08:48,-7.967635,-34.8363487
167,"            Rua Santa Terezinha, Jardim Atlântico",        58 ,2,1,2,205000,2561531498,2022-05-08 20:08:48,-7.9777366,-34.8417893
168,"            Rua Monte Castelo, Boa Vista",        33 ,1,1,1,Sob consulta,2560467493,2022-05-08 20:08:48,-8.0500149,-34.891693
169,"            Rua Monte Castelo, Boa Vista",        36 ,1,1,1,301000,2559531376,2022-05-08 20:08:48,-8.0500149,-34.891693
170,"            Rua Monte Castelo, Boa Vista",        33 ,1,1,1,Sob consulta,2560481061,2022-05-08 20:08:48,-8.0500149,-34.891693
171,"            Avenida Doutor José Augusto Moreira, Casa Caiada",        78 ,3,1,2,260000,2555683932,2022-05-08 20:08:48,-7.9848483,-34.8380293
172,"            Rua Pereira Simões, Bairro Novo",        159 ,3,2,1,580000,2521517836,2022-05-08 20:08:48,-8.0005265,-34.8434549
173,"            Rio Doce, Olinda",        50 ,2,1,1,155000,2559053361,2022-05-08 20:08:48,-7.9661053,-34.8322058
174,"            Rua Agave, Fragoso",        60 ,2,1,2,195000,2559678987,2022-05-08 20:08:48,,
175,"            Travessa São Francisco, Carmo",        95 ,3,2,,550000,2557090036,2022-05-08 20:08:48,-8.0148142,-34.849064
176,"            Rua Jornalista Edson Regis, Jardim Atlântico",        53 ,2,1,2,80000,2552157599,2022-05-08 20:08:48,-7.9751264,-34.8373879
177,"            Rua Rogaciano de Santana, Jardim Atlântico",        50 ,2,1,1,170000,2561570373,2022-05-08 20:08:48,-7.9671712,-34.838561
178,"            Rua Pereira Simões, Bairro Novo",        70 ,3,1,1,451000,2540652077,2022-05-08 20:08:48,-8.0005265,-34.8434549
179,"            Avenida Doutor José Augusto Moreira, Casa Caiada",        60 ,2,1,2,360000,2554722243,2022-05-08 20:08:48,-7.9848483,-34.8380293
180,"            Avenida Ministro Marcos Freire, Casa Caiada",        140 ,4,2,1,790000,2560027772,2022-05-08 20:08:48,-7.9811394,-34.8352712
181,"            Avenida Ministro Marcos Freire, Casa Caiada",        136 ,3,2,1,650000,2560458912,2022-05-08 20:08:48,-7.9811394,-34.8352712
182,"            Rua Pereira Simões, Bairro Novo",        75 ,3,1,2,449200,2553491243,2022-05-08 20:08:48,-8.0005265,-34.8434549
183,"            Rua Carlos Pessoa Monteiro, Casa Caiada",        55 ,2,1,1,408000,2559477026,2022-05-08 20:08:48,-7.9908448,-34.8408931
184,"            Casa Caiada, Olinda",        96 ,3,2,1,620000,2523704624,2022-05-08 20:08:48,-7.9835463,-34.8389609
185,"            Avenida Pau-brasil, Fragoso",        50 ,2,1,1,100000,2558421404,2022-05-08 20:08:48,-22.5889616,-43.1989273
186,"            Rua Doutor Manoel de Almeida Belo, Bairro Novo",        130 ,3,2,2,350000,2547615594,2022-05-08 20:08:48,-8.0013614,-34.841539
187,"            Avenida Ministro Marcos Freire, Casa Caiada",        100 ,3,2,3,777000,2488920281,2022-05-08 20:08:48,-7.9811394,-34.8352712
188,"            Rua Belo Horizonte, Rio Doce",        60 ,2,1,1,185000,2515669752,2022-05-08 20:08:48,-7.9652656,-34.8326506
189,"            Avenida Doutor Joaquim Nabuco, Varadouro",        67 ,3,1,2,209000,2560617918,2022-05-08 20:08:48,-7.9761096,-34.8636305
190,"            Rua Maria Ramos, Bairro Novo",        76 ,3,1,1,380000,2552559404,2022-05-08 20:08:48,-8.0003012,-34.8427491
191,"            Peixinhos, Olinda",        250 ,3,2,5,400000,2557202858,2022-05-08 20:08:48,-8.013118799999999,-34.8723992
192,"            Rua Monte Castelo, Boa Vista",        33 ,1,1,1,Sob consulta,2560487081,2022-05-08 20:08:48,-8.0500149,-34.891693
193,"            Rua Monte Castelo, Boa Vista",        33 ,1,1,1,Sob consulta,2560479123,2022-05-08 20:08:48,-8.0500149,-34.891693
194,"            Rua Monte Castelo, Boa Vista",        33 ,1,1,1,Sob consulta,2560482166,2022-05-08 20:08:48,-8.0500149,-34.891693
195,"            Rua Aluísio de Azevedo, Jardim Atlântico",        87 ,2,1,2,230000,2557790241,2022-05-08 20:08:48,-7.9761781,-34.8411158
196,"            Avenida Presidente Getúlio Vargas, Bairro Novo",        75 ,,,,300000,2558527502,2022-05-08 20:08:48,-8.0022951,-34.8403535
