,rua,metro_quadrado,quartos,garagens,banheiros,preco,id,scrapy_datetime,lat,lon
1289,"            Avenida Brasil, Rio Doce",        45 ,2,1,1,147000,2559170553,2022-05-08 20:08:48,-7.95946,-34.8465666
1290,"            Avenida Governador Carlos de Lima Cavalcante, Casa Caiada",        155 ,3,2,3,650000,2470534113,2022-05-08 20:08:48,-7.9824958,-34.8375212
1291,"            Rua Jornalista Luís de Andrade, Casa Caiada",        95 ,3,2,1,800000,2521990230,2022-05-08 20:08:48,-7.9866315,-34.8418334
1292,"            Jardim Atlântico, Olinda",        63 ,2,1,2,285000,2553488720,2022-05-08 20:08:48,-7.9753891,-34.8459936
1293,"            Ouro Preto, Olinda",        150 ,5,3,2,370000,2558253209,2022-05-08 20:08:48,-7.996724899999999,-34.8614819
1294,"            Rua João Clementino Montarroyos, Casa Caiada",        75 ,3,1,1,280000,2558537556,2022-05-08 20:08:48,-7.9862598,-34.8405747
1295,"            Casa Caiada, Olinda",        79 ,2,1,1,330000,2553017014,2022-05-08 20:08:48,-7.9835463,-34.8389609
1296,"            Rio Doce, Olinda",        80 ,2,1,,360000,2525519284,2022-05-08 20:08:48,-7.9661053,-34.8322058
1297,"            Rua Professor Ênio Carlos de Albuquerque, Rio Doce",        48 ,1,1,1,65000,2558421446,2022-05-08 20:08:48,-7.9644261,-34.8460222
1298,"            Avenida Ministro Marcos Freire, Bairro Novo",        85 ,3,1,2,395000,2544373676,2022-05-08 20:08:48,-8.0023988,-34.8395821
1299,"            Avenida Doutor José Augusto Moreira, Casa Caiada",        90 ,3,1,2,235000,2547800403,2022-05-08 20:08:48,-7.9848483,-34.8380293
1300,"            Casa Caiada, Olinda",        71 ,3,1,1,330000,2540570416,2022-05-08 20:08:48,-7.9835463,-34.8389609
1301,"            Avenida Ministro Marcos Freire, Casa Caiada",        135 ,4,3,2,975000,2522123782,2022-05-08 20:08:48,-7.9811394,-34.8352712
1302,"            Rua Hélio Rodrigues Cardoso, Bultrins",        62 ,2,1,1,65000,2560671401,2022-05-08 20:08:48,-7.9975759,-34.84776
1303,"            Praça General Dantas Barreto, Carmo",        900 ,5,,,520000,2557219554,2022-05-08 20:08:48,-8.0138793,-34.8439776
1304,"            Avenida Doutor José Augusto Moreira, Casa Caiada",        42 ,,,,350000,2523221384,2022-05-08 20:08:48,-7.9848483,-34.8380293
1305,"            Casa Caiada, Olinda",        67 ,2,1,,650000,2497578115,2022-05-08 20:08:48,-7.9835463,-34.8389609
1306,"            Avenida Ministro Marcos Freire, Casa Caiada",        100 ,3,2,3,897000,2522760309,2022-05-08 20:08:48,-7.9811394,-34.8352712
1307,"            Fragoso, Olinda",        67 ,3,1,2,140000,2499284286,2022-05-08 20:08:48,-7.9842603,-34.8520068
1308,"            Avenida Fagundes Varela, Jardim Atlântico",        120 ,3,1,2,260000,2554378885,2022-05-08 20:08:48,-7.9770194,-34.8424944
1309,"            Rua João da Costa Lima, Casa Caiada",        59 ,2,1,2,369500,2558359380,2022-05-08 20:08:48,-7.9877679,-34.8420628
1310,"            Rua Professora Dulce de Barros Barreto, Jardim Atlântico",        120 ,2,2,2,380000,2559121358,2022-05-08 20:08:48,,
1311,"            Rua Joaquim Antônio de Medeiros, Casa Caiada",        100 ,3,1,3,195000,2547640887,2022-05-08 20:08:48,-7.9879138,-34.8430973
1312,"            Rua Coronel José Cipriano da Silva, Rio Doce",        120 ,3,1,3,360000,2497632142,2022-05-08 20:08:48,-7.9649507,-34.8313592
1313,"            Jardim Atlântico, Olinda",        108 ,3,1,1,210000,2520699327,2022-05-08 20:08:48,-7.9753891,-34.8459936
1314,"            Rua C-4, Rio Doce",        46 ,2,1,1,186360,2554672910,2022-05-08 20:08:48,-7.964474,-34.8333367
1315,"            Rua Professor Francisco Xavier Paes Barreto, Casa Caiada",        127 ,3,2,1,495000,2518928729,2022-05-08 20:08:48,-7.9903257,-34.8422608
1316,"            Rua Cardeal, Ouro Preto",        368 ,4,3,3,500000,2550219153,2022-05-08 20:08:48,-7.9942007,-34.8647955
1317,"            Rua Edmar Moury Fernandes, Casa Caiada",        85 ,3,1,2,230000,2513468804,2022-05-08 20:08:48,-7.9866574,-34.8432774
1318,"            Casa Caiada, Olinda",        192 ,5,1,6,550000,2558003212,2022-05-08 20:08:48,-7.9835463,-34.8389609
1319,"            Rua Aluísio de Azevedo, Jardim Atlântico",        58 ,2,1,2,99000,2558426515,2022-05-08 20:08:48,-7.9761781,-34.8411158
1320,"            Avenida Governador Carlos de Lima Cavalcante, Casa Caiada",        30 ,1,1,1,300000,2555611283,2022-05-08 20:08:48,-7.9824958,-34.8375212
1321,"            Casa Caiada, Olinda",        192 ,5,1,6,550000,2530277569,2022-05-08 20:08:48,-7.9835463,-34.8389609
1322,"            Casa Caiada, Olinda",        192 ,3,3,3,750000,2560186989,2022-05-08 20:08:48,-7.9835463,-34.8389609
1323,"            Avenida Governador Carlos de Lima Cavalcante, Casa Caiada",        130 ,3,1,2,490000,2559121355,2022-05-08 20:08:48,-7.9824958,-34.8375212
1324,"            Rua São Cristóvão, Jardim Brasil",        170 ,2,1,2,360000,2543431389,2022-05-08 20:08:48,-8.0044231,-34.8719082
1325,"            Avenida Ministro Marcos Freire, Casa Caiada",        100 ,3,2,3,850000,2554777240,2022-05-08 20:08:48,-7.9811394,-34.8352712
1326,"            Avenida da Asa Branca, Rio Doce",        46 ,2,1,1,165000,2561712655,2022-05-08 20:08:48,-7.9571815,-34.8454746
1327,"            Rua Belo Horizonte, Rio Doce",        320 ,,,,350000,2451085099,2022-05-08 20:08:48,-7.9652656,-34.8326506
1328,"            Rua Benjamim de Aguiar Machado, Rio Doce",        120 ,2,1,1,150000,2554120139,2022-05-08 20:08:48,-7.9661053,-34.8322058
1329,"            Jardim Atlântico, Olinda",        54 ,2,1,1,220000,2559724569,2022-05-08 20:08:48,-7.9753891,-34.8459936
1330,"            Bairro Novo, Olinda",        300 ,8,3,,690000,2543388938,2022-05-08 20:08:48,-8.0027701,-34.8431006
1331,"            Avenida Ministro Marcos Freire, Casa Caiada",        140 ,4,2,3,850000,2558425215,2022-05-08 20:08:48,-7.9811394,-34.8352712
1332,"            Bairro Novo, Olinda",        112 ,3,4,,580000,2531371479,2022-05-08 20:08:48,-8.0027701,-34.8431006
1333,"            Jardim Atlântico, Olinda",        108 ,3,1,3,240000,2535087245,2022-05-08 20:08:48,-7.9753891,-34.8459936
1334,"            Rio Doce, Olinda",        47 ,2,1,2,175000,2542167123,2022-05-08 20:08:48,-7.9661053,-34.8322058
1335,"            Rio Doce, Olinda",        46 ,2,1,1,184000,2546544299,2022-05-08 20:08:48,-7.9661053,-34.8322058
1336,"            Rua Álvaro da Boa Vista Maia, Jardim Atlântico",        105 ,4,1,2,160000,2551213771,2022-05-08 20:08:48,-7.9712137,-34.8395651
1337,"            Avenida Doutor José Augusto Moreira, Casa Caiada",        59 ,2,1,2,355000,2559742083,2022-05-08 20:08:48,-7.9848483,-34.8380293
